64	87	2017-12-20	2017-12-21
242	88	2017-12-20	2017-12-21
243	88	2017-12-20	2017-12-21
94	88	2017-12-20	2017-12-21
161	88	2017-12-20	2017-12-21
244	89	2017-12-20	2017-12-21
245	89	2017-12-20	2017-12-21
246	89	2017-12-20	2017-12-21
149	89	2017-12-20	2017-12-21
79	89	2017-12-20	2017-12-21
247	90	2017-12-20	2017-12-21
248	90	2017-12-20	2017-12-21
24	90	2017-12-20	2017-12-21
249	91	2017-12-20	2017-12-21
61	91	2017-12-20	2017-12-21
250	91	2017-12-20	2017-12-21
251	92	2017-12-20	2017-12-21
252	93	2017-12-20	2017-12-21
253	93	2017-12-20	2017-12-21
254	94	2017-12-20	2017-12-21
255	94	2017-12-20	2017-12-21
58	95	2017-12-20	2017-12-21
256	95	2017-12-20	2017-12-21
257	95	2017-12-20	2017-12-21
258	96	2017-12-20	2017-12-21
259	96	2017-12-20	2017-12-21
260	96	2017-12-20	2017-12-21
261	97	2017-12-20	2017-12-21
262	98	2017-12-20	2017-12-21
263	98	2017-12-20	2017-12-21
264	98	2017-12-20	2017-12-21
265	99	2017-12-20	2017-12-21
266	99	2017-12-20	2017-12-21
41	99	2017-12-20	2017-12-21
41	99	2017-12-20	2017-12-21
267	100	2017-12-20	2017-12-21
183	100	2017-12-20	2017-12-21
268	101	2017-12-20	2017-12-21
269	101	2017-12-20	2017-12-21
7	101	2017-12-20	2017-12-21
270	101	2017-12-20	2017-12-21
271	102	2017-12-20	2017-12-21
98	102	2017-12-20	2017-12-21
272	102	2017-12-20	2017-12-21
273	102	2017-12-20	2017-12-21
274	103	2017-12-20	2017-12-21
23	103	2017-12-20	2017-12-21
64	103	2017-12-20	2017-12-21
275	103	2017-12-20	2017-12-21
64	104	2017-12-20	2017-12-21
276	105	2017-12-20	2017-12-21
277	105	2017-12-20	2017-12-21
278	105	2017-12-20	2017-12-21
279	105	2017-12-20	2017-12-21
280	106	2017-12-20	2017-12-21
281	106	2017-12-20	2017-12-21
282	107	2017-12-20	2017-12-21
283	107	2017-12-20	2017-12-21
284	107	2017-12-20	2017-12-21
285	108	2017-12-20	2017-12-21
286	109	2017-12-20	2017-12-21
121	109	2017-12-20	2017-12-21
287	109	2017-12-20	2017-12-21
288	110	2017-12-20	2017-12-21
